question,answer,precision,dpr_answer,rank,filtered_rank,other_dates
when did Tommy Dorsey marry Patricia?,1943-01-01,year,"Tommy Dorsey New Jersey. They divorced in 1943 after Dorsey's affair with his former singer Edythe Wright. He then wed movie actress Patricia Dane in 1943, and they were divorced in 1947, but not before he gained headlines for striking actor Jon Hall when Hall embraced her. Finally, Dorsey married Jane Carl New on March 27, 1948, in Atlanta, Georgia. She had been a dancer at the Copacabana nightclub in New York City. Tommy and Jane Dorsey had two children, Catherine Susan and Steve. On November 26, 1956, Dorsey died a week after his 51st birthday in his Greenwich, Connecticut home. He",1,1,"1956-11-26,1947-07-01,1948-03-27,2022-06-29"
when did Edward Everett Hale marry Emily Baldwin?,1852-01-01,year,"Edward Everett Hale Unity in Worcester, Massachusetts. Hale married Emily Baldwin Perkins in 1852; she was the niece of Connecticut Governor and U.S. Senator Roger Sherman Baldwin and Emily Pitkin Perkins Baldwin on her father's side and Lyman Beecher, Harriet Beecher Stowe and Henry Ward Beecher on her mother's side. They had nine children: Alexander, b & d 1853; Ellen Day, 1854–1939; Arthur, 1859–1939;Charles Alexander, 1861–1867; Edward Everett, Jr., 1863–1932; Philip Leslie Hale, 1865–1931; Herbert Dudley, 1866–1908; Henry Kidder, 1868–1876; Robert Beverly, 1869–1895. Hale left the Unity Church in 1856 to become pastor at the South Congregational Church, Boston, where he served until",1,1,"1856-07-01,1853-07-01"
when did Denys Rhodes marry Margaret?,1950-07-31,day,"Denys Rhodes Rhodes. Rhodes served in the Second World War with the Rifle Brigade, fighting in North Africa and Italy. He was married twice. His first marriage was to actress Rachel Gurney in 1946. The couple had a daughter, Sharon Gurney, and divorced in 1950. His second marriage was on 31 July 1950 to The Honourable Margaret Elphinstone (1925–2016), a first cousin of Elizabeth II. Princess Margaret served as a bridesmaid. The couple had four children and one grandson: After his second marriage, Rhodes lived and wrote at Uplowman House at Uplowman in Devon, until inoperable lung cancer led to a move",24,1,"1946-07-01,1950-07-01"
when did Ronald Tree marry Marietta Peabody?,1947-01-01,year,"Ronald Tree improved, notably including covering the road with turf. The last weekend Churchill attended Ditchley as his official residence was Tree's birthday on 26 September 1942. Churchill's last visit was for lunch in 1943. Churchill gave Tree a job in the Ministry of Information, where he met a married American co-worker Marietta Peabody FitzGerald and began a romantic relationship. Although Tree was bisexual and twenty years older than Marietta, at the end of World War II, Tree and Peabody divorced their respective spouses, and then married on 26 July 1947; they had one child, Penelope (born 1949), who became a celebrated",3,1,"1942-09-26,1949-07-01,1943-07-01"
"when did Francis Jeune, 1st Baron St Helier marry Mary Jeune, Baroness St?",1881-08-17,day,"Francis Jeune, 1st Baron St Helier Bath (KCB). Five years later he was promoted to a Knight Grand Cross of the order (GCB) in the 1902 Coronation Honours list published on 26 June 1902, and was invested by King Edward VII at Buckingham Palace on 8 August 1902. In February 1905, he was granted an annuity of £3,500 and raised to the peerage as Baron St Helier of St Helier in the Island of Jersey and of Arlington Manor in the County of Berkshire. On 17 August 1881, Lord St Helier married Susan Mary Elizabeth Stanley, the recently widowed daughter of Keith William Stewart-Mackenzie and Hannah",1,1,"1902-08-08,1905-02-01,1902-07-01,1902-06-26"
when did Gustavus von Tempsky marry Emelia Ross?,1855-07-09,day,"Gustavus von Tempsky new California goldfields, but did not strike gold. In 1853, he returned to the Prussian colony, via Mexico, Guatemala, and Salvador, and later wrote a book, Mitla, about his journey. He had been courting Emelia Ross Bell, the elder daughter of the British government agent from Scotland, James Stanislaus Bell, at the nearby British settlement of Bluefields (or Blewfields) before he left, but her father did not approve, probably because of his youth and lack of prospects. After his return, on 9 July 1855 at Bluefields, he married Emelia. In 1858 a son, Louis von Tempski, was born in Glasgow,",1,1,"1858-07-01,1853-07-01"
when did Carmen Llywelyn marry Jason?,1995-07-01,month,"Carmen Llywelyn Lee, then a professional skateboarder. In 1995, the couple was married in a ceremony presided over by actor Bodhi Elfman. In March 2001, the couple lived together in Southern California. Llywelyn and Lee obtained a divorce in 2001. Lee stated of their separation, Our breakup had nothing to do with Hollywood or my career. Llywelyn entered a long-term relationship in 2003 and the couple became parents of twins in 2004. As of 2015, the family lived together in Atlanta. Llywelyn was introduced to the Church of Scientology by her then-partner Jason Lee. According to Llywelyn, her resistance to becoming more",1,1,"2003-07-01,2001-07-01,2004-07-01,2015-07-01,2001-03-01"
when did Jeri Kehn Thompson marry Fred?,2002-01-01,year,"Jeri Kehn Thompson up in Naperville, Illinois, with her mother Vicki, stepfather Ron Keller, and a younger sister. She graduated with a degree in English literature from Indiana's DePauw University in 1988 and was a member of the Pi Beta Phi sorority. Jeri Kehn and Fred Thompson first met on July 4, 1996, while both were in the checkout line at a Kroger supermarket. They were married on June 29, 2002, at First Congregational United Church of Christ in Naperville. It was her first marriage and Fred Thompson's second. On September 27, 2003, she gave birth to a daughter, Hayden. A second child,",1,1,"2003-09-27,1996-07-04,1988-07-01"
when did Nicole Richie marry Joel?,2010-01-01,year,"Nicole Richie to People magazine for $1 million. The couple confirmed their engagement in February 2010, and married on December 11, 2010. Because of Madden's commitments to The Voice Australia, Richie re-located to Sydney with her husband and children in 2012. Actress Cameron Diaz, married to Madden's brother Benji, is Richie's sister-in-law. In early 2006, Richie was notably thinner compared to her previous appearance in the first two seasons of The Simple Life. In May she told Vanity Fair, I know I'm too thin right now, so I wouldn't want any young girl looking at me and saying, 'That's what I want",3,1,2012-07-01
when did Dorothy Malone marry Robert?,1969-01-01,year,"Dorothy Malone on April 3, 1969, at the Silver Bells Wedding Chapel in Las Vegas, Nevada. Her second marriage was later annulled after Malone claimed that Tomarkin married her because of her money. She married Dallas motel chain executive Charles Huston Bell on October 2, 1971, but they divorced after three years. Circa 1971, Malone moved her daughters from Southern California to suburban Dallas, Texas, where she herself had been raised. Malone died on January 19, 2018, ten days before her 94th birthday, at a nursing facility in Dallas. Malone has a star on the Hollywood Walk of Fame at 1718 Vine",2,1,"2022-06-26,1971-07-01,1971-10-02,2019-07-06,2018-01-19"
